Original|Translated
Blade Twister|Klingenwirbelsturm
Create Whistle|Pfeife herstellen
Soulsever|Seelenschnitter
Everbloom|Immergrüner Flor
Dragon Form|Drachengestalt
Feather Fall|Federfall
Summon Sands of Time|Sande der Zeit beschwören
Wind Rush|Windsturm
Killing Blow|Todesstoß
Explosive Slag Mine|Explosive Schlackemine
Agitated Water|Aufgewühlte Wasser
Flame Vent|Flammendüse
Ember in the Wind|Glutspan im Wind
Shadow Residue|Schattenrückstände
Toss Anchor|Anker werfen
Breakout|Ausbruch
Burst of Experience|Erfahrungsschub
Chest of Iron|Eiserne Brustrüstung
Legs of Iron|Eiserne Beinrüstung
Gloves of Iron|Eiserne Handschuhe
Helm of Iron|Eiserner Helm
Shoulders of Iron|Eiserne Schultern
Spirit Shuffle|Geistermischen
Boulder Crush|Steine zertrümmern
Nether Energy|Netherenergie
Fighter Chow|Soldatenfutter
Close Portal|Portal schließen
Mage Portal|Magierportal
King Prison|König - Gefängnis
Volatile Bomb|Instabile Bombe
Volatile Detonation|Instabile Explosion
Frosty Bombardment|Frostbombardement
Sea-Brine Toxin|Meerwassertoxin
Shattered Souls|Zerschmetterte Seelen
Fungal Pull|Myzelienzug
Tidal Spear|Gezeitenspeer
Pufferfish|Kugelfisch
March of the Murlocs|Marsch der Murlocs
Rune of Alacrity|Rune des Eifers
Wave of Light|Woge des Lichts
Electric Orb|Elektrische Kugel
Fire Laser|Laser abfeuern
Heating|Einheizen
Hammering|Hämmern
Quenching|Abkühlen
Undertow|Tiefensog
Hailstorm|Hagelsturm
Fresh Meat|Frischfleisch
Crashing Tide|Hereinbrechende Flut
Rumbling Fissure|Krachender Riss
Finger of Pain|Finger der Pein
Mana Rift|Manariss
Power Beam|Machtstrahl
Throw Ashbringer|Aschenbringer werfen
Siegeyard|Belagerungshof
Giant Leap|Weiter Sprung
Ashes to Ashes|Asche zu Asche
Wrath of the Ashbringer|Zorn des Aschenbringers
Templar's Infusion|Infusion des Templers
Summon Murlocs|Murlocs beschwören
Fel Crystal|Teufelskristall
Blind Charge|Blinder Ansturm
Disable ALL Mounts|ALLE Reittiere deaktivieren
Fel Axe|Teufelsaxt
Recall Axe|Axt zurückrufen
Foul Pyroclasm|Besudelter Pyroklasmus
Receive Blessing|Segen erhalten
Summon Whelpling|Welpling beschwören
Disrupting|Stören
Treating Wounds|Wunden versorgen
Aura of Oppression|Aura der Unterdrückung
Felfire Brazier|Teufelsfeuerkohlenpfanne
Touch of Doom|Berührung der Verdammnis
Aura of Contempt|Aura der Verachtung
Aura of Malice|Aura der Bösartigkeit
Seal of Decay|Siegel des Verfalls
Crushing Darkness|Erdrückende Dunkelheit
Harbinger's Mending|Heilung des Vorboten
Cinder Breath|Glutodem
Infernal Spawn|Höllenbestie erschaffen
Corruption Siphon|Verderbnisentzug
Felfire Munitions|Teufelsfeuermunition
Blood Surge|Blutwoge
Edict of Condemnation|Edikt der Ächtung
Hunger for Life|Nach dem Leben trachten
Empower Spirits|Geister ermächtigen
Touch of Harm|Berührung des Leids
Undulation|Wogen
Blood Pact|Blutpakt
Legion Invasion|Legionsinvasion
Fel Rupture|Teufelsriss
Roaring Flames|Lodernde Flammen
Annihilating Strike|Vernichtender Schlag
Purple Wave|Violette Welle
Empowered Healthstone|Mächtiger Gesundheitsstein
Ashen Strike|Aschenschlag
Infernal Tempest|Infernalischer Sturm
Orange Wave|Orangefarbene Welle
Green Wave|Grüne Welle
Demonic Possession|Dämonenbesessenheit
Summon Felfire Imp|Teufelsfeuerwichtel beschwören
Heart Seeker|Herzsucher
Flowing Strike|Fließender Schlag
Dread Blades|Schreckensklingen
Heavy Throw|Schwerer Wurf
Felfire Volley|Teufelsfeuersalve
Legion Invasion Spawn|Legionsinvasion erschaffen
Resuscitating|Wiederbeleben
Summon Representative|Repräsentanten herbeirufen
Tainted Shadows|Besudelte Schatten
Weather|Wetter
Bodyguard Miniaturization Device|Leibwächterschrumpfer
Drop Book|Buch fallen lassen
Gavel of the Tyrant|Richthammer der Tyrannin
Explosive Runes|Explosive Runen
Gathering Darkness|Aufziehende Dunkelheit
Final Breath|Letzter Atem
Fel Corruption|Teufelsverderbnis
Slick Ice|Rutschiges Eis
Upgrade|Aufwertung
Call of Flame|Ruf der Flamme
Dark Bond|Dunkles Band
Podling Swarm|Schotlingschwarm
Retrieving the Ashbringer|Aschenbringer aufnehmen
Hellfire Assault|Höllenfeuerangriff
Vision of Death|Vision des Todes
Fel Puddle|Teufelspfütze
Earthen Slam|Erdhieb
Fel Barrage|Teufelsbeschuss
Unleashed Energy|Entfesselte Energie
Fly to the Broken Shore|Flug zur Verheerten Küste
Corrosive Burst|Ätzende Explosion
Void Bomb|Leerenbombe
Siege Nova|Belagerungsnova
Shoulder Demon|Schulterdämon
Command Table|Befehlstisch
Summon Blood Knights|Blutritter beschwören
Summon Stones of Creation|Steine der Schöpfung beschwören
Draining|Absorbieren
Conducted Shock Pulse|Geleiteter Schockimpuls
Doom Spike|Verdammnisstachel
Phase Blink|Phasenteleport
Foul Trap|Besudelte Falle
Fel Imp-losion|Teufelsimplosion
Tidal Splash|Gezeitenfontäne
Fel Fury|Teufelswut
Grasping Hands|Packende Hände
Explosive Burst|Explosive Eruption
Righteous Strength|Rechtschaffene Stärke
Lacerating Swipe|Schlitzender Prankenhieb
Massive Blast|Massive Explosion
Volatile Reaction|Flüchtige Reaktion
Revealing Light|Offenbarendes Licht
Expel Soul|Seele ausstoßen
Fel Hellstorm|Teuflischer Höllensturm
Sweeping Slash|Weitreichender Glevenschwung
Lunar Tempest|Lunarer Sturm
Cavitation|Kavitation
Fel Swipe|Teufelshieb
Ghastly Wail|Geisterhaftes Heulen
Exposed Core|Freigelegter Kern
Summon Malfurion|Malfurion beschwören
Wake of Destruction|Welle der Zerstörung
Seed of Destruction|Saat der Zerstörung
Growing Darkness|Wachsende Dunkelheit
Visions of Kilrogg|Visionen von Kilrogg
Summon Scout|Späher beschwören
Fiery Residue|Flammenrückstände
Felseeker|Teufelssucher
Fel Detonation|Teufelsdetonation
Cancel S.E.L.F.I.E. Camera.|S.E.L.F.I.E.-Kamera abbrechen
Shadowforce|Schattenmacht
Fel Conduit|Teufelsverbindung
Take Selfie|Selfie schießen
Dark Inquisition|Dunkle Inquisition
Fuel Streak|Ölspur
Empowered Fel Hellstorm|Verstärkter teuflischer Höllensturm
Phantasmal Winds|Imaginäre Winde
Feast of Souls|Festmahl der Seelen
Pump|Pumpe
Unstable Orb|Instabile Kugel
Pumping|Pumpen
Gazing Shadows|Starrende Schatten
Shattered Defenses|Zerschmetterte Verteidigung
Empowered Felseeker|Verstärkter Teufelssucher
Surging Shadows|Brodelnde Schatten
Felblaze Charge|Teufelsfeueransturm
Falling Slam|Fallender Schlag
Empowered Shadowforce|Verstärkte Schattenmacht
Ride Dragon|Drachen reiten
Gain Energy|Energiezuwachs
Rousing|Wachrütteln
Fel Frenzy|Teufelsraserei
Plague Bolt|Seuchenblitz
Fel Claws|Teufelskrallen
Fel Chakram|Dämonenchakram
Fel Leap|Teufelssprung
Unbreakable Will|Unbeugsamer Wille
Deliver the Light|Bote des Lichts
Activate Portal|Portal aktivieren
Fel Sunder|Teuflisches Zerreißen
Abyssal Smash|Abyssisches Schmettern
Blade's Fury|Klingenzorn
Grapple Ready|Greifhaken bereit
Hellfire Shot|Höllenfeuerschuss
Dark Ritual|Dunkles Ritual
Localized Storm|Örtlicher Sturm
Infectious Bite|Infektiöser Biss
Soul Bolt|Seelengeschoss
Grapple Point|Greifhakenziel
Flash Fire|Entfachung
Bursting Ulcer|Platzendes Geschwür
Summon Lady Liadrin|Lady Liadrin beschwören
Summon Bloodvalor|Heldenblut beschwören
Summon Bloodwrath|Blutzorn beschwören
Fel Incineration|Teufelseinäscherung
Summon Sunwalkers|Sonnenläufer beschwören
Wrath of Nature|Zorn der Natur
Consume Magic|Magie aufzehren
Inevitable|Unausweichlich
Summon Paladins|Paladine beschwören
Infernal Core|Kern einer Höllenbestie
Grapple Land|Greifhakenziel
Belly Slam|Bauchklatscher
Rancor|Groll
Light|Frontkämpfer
Primal Roar|Urtümliches Gebrüll
Launch Bonus Objective|Bonusziel starten
Summon Infectious Grubs|Infektiöse Larven beschwören
Ride Vethir|Vethir reiten
Demonsteel Armguards|Dämonenstahlarmschützer
Demonsteel Waistguard|Dämonenstahltaillenschutz
Demonsteel Pauldrons|Dämonenstahlschulterstücke
Demonsteel Greaves|Dämonenstahlbeinschützer
Demonsteel Helm|Dämonenstahlhelm
Demonsteel Gauntlets|Dämonenstahlstulpen
Demonsteel Boots|Dämonenstahlstiefel
Demonsteel Breastplate|Dämonenstahlbrustplatte
Summon Shadow Illusion|Schattenillusion beschwören
Soul Sunder|Seelenvernichtung
Fel Blade|Teufelsklinge
Searing Blaze|Sengendes Feuer
War Drums|Kriegstrommeln
Nightmare Corruption|Alptraumverderbnis
Inscribing Your Name|Namen eintragen
Plagued Spit|Verseuchte Spucke
Shadow Swipe|Schattenprankenhieb
Tutorial Camera|Tutorial-Kamera
Inspiring Light|Inspirierendes Licht
Plague Burst|Seuchenexplosion
Allure of Flames|Reiz der Flamme
Lap Sits|Schoßtier
Ferocious Howl|Wildes Heulen
Shadow Lash|Schattenpeitsche
Shortfuse Special|Schnellzünd Spezial
Soulfire|Seelenfeuer
Fel Offering|Dämonenopfergabe
Fel Tremors|Teufelsbeben
Blessing of Dawn|Segen des Morgens
Static Maelstrom|Statischer Mahlstrom
Unleashed Nightmare|Entfesselter Alptraum
Summon Felstalker|Teufelspirscher beschwören
Burning Out|Ausbrennen
Mighty Smash|Mächtiges Schmettern
Orb of Destruction|Sphäre der Zerstörung
Elemental Infusion|Elementarinfusion
Dispelling|Bannen
Barbed Tongue|Dornenzunge
Rancid Pool|Stinkender Teich
Shattering Crash|Zersplitterndes Schmettern
Fly to Broken Shore|Flug zur Verheerten Küste
Erupting Slam|Ausbrechendes Schmettern
Demon Taint|Dämonenmakel
Pollen Cloud|Pollenwolke
Doom Shroom|Verdammnispilz
Throw Water|Wasser werfen
Anti-Matter|Antimaterie
Shadow Pact|Schattenpakt
Burning Maw|Brennendes Maul
Holy Flurry|Heiliger Wirbel
Death Brand|Brandmal des Todes
Felflame Shield|Teufelsflammenschild
Change Name|Namen ändern
Demonic Bond|Dämonisches Band
Quench|Löschen
Curse of Lethargy|Fluch der Trägheit
Rending Howl|Verwundender Schrei
Infernal Smash|Höllisches Schmettern
Light of the Martyr|Licht des Märtyrers
Paying Respects|Respekt erweisen
Blazing Wounds|Sengende Wunden
Keen Edge|Scharfe Schneide
Spew Corruption|Verderbnis speien
Axe|Axt
Rumbling Earth|Bebende Erde
Corruption Bolt|Verderbnisblitz
Fly to Dalaran|Flug nach Dalaran
Charm Rescue|Rettung aus Bezauberung
Residual Energy|Restenergie
Soul Image|Seelenabbild
Fel Sear|Teufelsversengung
Ysera's Wrath|Yseras Zorn
Fel Burn|Teufelsbrand
Burning Mirror|Brennender Spiegel
Felblaze Rush|Teufelsfeuerrausch
Chaos Implosion|Chaosimplosion
Grapple!|Greifhaken!
Delirium's Descent|Abstieg ins Delirium
Howling Axe|Heulende Axt
Enraged Regeneration|Wütende Regeneration
Demolishing Leap|Vernichtender Sprung
Consume Spirit|Geist verschlingen
Unstable Soul|Instabile Seele
Mark of the Necromancer|Mal der Nekromantin
Void Haze|Leerennebel
Fel Shield|Teufelsschild
Panic!|Lauft um Euer Leben!
Nightmare Portal|Alptraumportal
Blade of Justice|Klinge der Gerechtigkeit
Summon Runestone|Runenstein beschwören
Soul Fissure|Seelenriss
Planting|Scharf machen
Summon Hand of Argus|Hand von Argus beschwören
Nightmare Visage|Alptraumhafte Erscheinung
Wailing Horror|Klagender Schrecken
Burning Hands|Brennende Hände
Firmament Stone|Firmamentstein
Summon Portal Guardian|Portalwächter beschwören
Fill Barrel|Fass füllen
Agitate|Aufwühlen
Ashen|Druide
Radiation Sickness|Strahlenkrankheit
Stalwart Guardian|Tapferer Wächter
Low Tide|Ebbe und Flut
Epidemic|Epidemie
Shackled Torment|Gefesselte Pein
Ocular Blast|Okularstrahl
Chaos Orb|Chaoskugel
Break Spirit|Geist brechen
Call to Arms!|Zu den Waffen!
Summoning|der
Start Event|Ereignis starten
Summon Sandfury Illusion|Sandwüterillusion beschwören
Inspiring Presence|Inspirierende Präsenz
Lit Torch|Brennende Fackel
Fel Rush|Teufelsrausch
Energy Arc|Energiebogen
Create Shoulder|Schultern erschaffen
Waking|Erwachende
For the Alliance!|Für die Allianz!
Vehicle Aura|Fahrzeugaura
Crimson Vial|Blutrote Phiole
Deepening Shadows|Wachsende Schatten
Fel Chain|Teufelskette
Deceptive Strike|Täuschender Stoß
Shadow Riposte|Schattenriposte
Ensorcelled|Bezaubert
Tides of Shadow|Schattenflut
Shredder Stomp|Schredderstampfer
Felstorm Gale|Teufelssturmböe
Volatile Eruption|Instabiler Ausbruch
Create Garrison: Artifact|Garnison erschaffen: Artefakt
Dark Bindings|Dunkle Bindungen
Hellfire Cannons|Höllenfeuerkanonen
Violent Eruption|Heftige Eruption
Creeping Void|Kriechende Leere
Grasp|Packen
Drag|Ziehen
Big Red Rocket|Dicke rote Rakete
Fancy Darkmoon Feast|Opulentes Dunkelmond-Festmahl
Sugar-Crusted Fish Feast|Zuckerglasiertes Fischfestmahl
Rending Talons|Reißkrallen
Momentum|Wuchtiger Ansturm
Pistol Shot|Pistolenschuss
Felrune Barrier|Teufelsrunenbarriere
Fancy Feaster|Gediegener Schlemmer
Empowered Massive Blast|Verstärkte massive Explosion
Wave Crush|Wellenschmettern
Disabling|Deaktivieren
Silkweave Pantaloons|Seidengewebte Pantalons
Silkweave Hood|Seidengewebte Kapuze
Silkweave Gloves|Seidengewebte Handschuhe
Silkweave Slippers|Seidengewebte Pantoffeln
Imbued Silkweave Bracers|Machtgetränkte seidengewebte Armschienen
Imbued Silkweave Cinch|Machtgetränkter seidengewebter Hüftgurt
Imbued Silkweave Epaulets|Machtgetränkte seidengewebte Schulterklappen
Imbued Silkweave Pantaloons|Machtgetränkte seidengewebte Pantalons
Imbued Silkweave Hood|Machtgetränkte seidengewebte Kapuze
Imbued Silkweave Gloves|Machtgetränkte seidengewebte Handschuhe
Imbued Silkweave Slippers|Machtgetränkte seidengewebte Pantoffeln
Imbued Silkweave Robe|Machtgetränkte seidengewebte Robe
Arrow of Light|Pfeil des Lichts
Rupturing Slam|Zerrüttender Schlag
Solar Chakram|Solarchakram
Claw Snap|Klauenschnappen
Breath of Senegos|Atem von Senegos
Command: Charge!|Befehl: Ansturm!
Demonic Sacrifice|Dämonische Opferung
Vision Aura|Sichtaura
The Blades of the Fallen Prince|Die Klingen des gefallenen Prinzen
Fel Impact|Teufelseinschlag
Raging Fire|Tosendes Feuer
Flurry of Feathers|Federwirbel
Rotting Bite|Fauliger Biss
Touch of Nature|Berührung der Natur
Brackish Bolt|Brackwasserblitz
Void Surge|Leerensog
Summon Lyndras|Lyndras beschwören
Tidal Smash|Gezeitenschmettern
Bursting Shot|Stoßfeuer
Persistence|Persistenz
Call of the Nameless King|Ruf des Namenlosen Königs
Jump Indicator|Sprungindikator
Overhead Slash|Überkopfschlitzer
Chains of Fel|Dämonenketten
Shoulder Tackle|Schultertackling
Ballista Shot|Ballistenschuss
Fel Orb|Teufelskugel
Belch Flame|Flammen spucken
Soul of Mist|Seele des Nebels
Laceration|Fleischwunde
Decaying Blast|Zersetzende Eruption
Flames of Argus|Flammen von Argus
Call For Help|Hilferuf
Carry|Tragen
Fly to Felsoul Hold|Flug zur Teufelsseelenbastion
Put Down|Abstellen
Earthshaking Crash|Erderschütterndes Schmettern
Ashbringer's Judgment|Richturteil des Aschenbringers
Burning Plague Cache|Brennendes Seuchenbehältnis
Knockaway|Rückstoß
Elemental Empowerment|Elementare Ermächtigung
Ashran Dominance Repeatable|Dominanz über Ashran, wiederholbar
Demonic Influence|Dämonischer Einfluss
Echo of the Highlord|Echo des Hochlords
Double Punch|Doppelschlag
Flameorb|Flammenkugel
Mark Target|Ziel markieren
Voidburst|Leerenexplosion
Zip Line|Seilrutsche
Light's Grace|Gnade des Lichts
Embrace the Light|Greift nach dem Licht
Highlord's Judgment|Urteil des Hochlords
Wicked Strike|Bösartiger Schlag
Nether Death Plane|Totenreich des Nethers
Communing|Zwiesprache halten
Fan of Felblades|Teufelsklingenfächer
Earthen Smash|Irdene Rache
Mark of the Legion|Mal der Legion
Primal Energies|Urtümliche Energien
Fel Bulwark|Teuflisches Bollwerk
Fel Winds|Teufelswinde
Brutal Slash|Brutales Schlitzen
Crippling Slash|Verkrüppelndes Schlitzen
Killed by Spear|Vom Speer getötet
Nether Storm|Nethersturm
Rule of Threes|Dreisatz
Crackling Energy|Knisternde Energie
Power of the Ashbringer|Macht des Aschenbringers
Unstable Tear|Instabiler Riss
Chaos Barrage|Chaossperrfeuer
Artifact Power Slotted|Artefaktmacht eingesetzt
Discovery|Entdeckung
Planting Explosives|Sprengladungen platzieren
Next Victim|Nächstes Ziel
Nightmare Blast|Alptraumstoß
Restore Stability|Stabilisieren
Immaculate Haste Taladite|Makelloser Tempotaladit
Illusion Creation|Illusion erzeugen
Felflame Crate|Teufelsflammenkiste
Carve|Zerlegen
Nightmarish Visions|Alptraumhafte Visionen
Summon Ashildir|Ashildir beschwören
Crash Lightning|Tobende Blitze
Void Glare|Leerenblick
Catastrophic Collapse|Katastrophaler Zusammenbruch
Dazzled|Schillernd
Charged Lodestone|Geladener Leitstein
Arcane Rebound|Arkane Abstoßung
Ancient Healing Potion|Uralter Heiltrank
Ancient Mana Potion|Uralter Manatrank
Ancient Rejuvenation Potion|Uralter Verjüngungstrank
Draught of Raw Magic|Destillat aus roher Magie
Sylvan Elixir|Sylvanelixier
Avalanche Elixir|Lawinenelixier
Skystep Potion|Himmelslauftrank
Infernal Alchemist Stone|Infernaler Alchemistenstein
Potion of Deadly Grace|Trank der tödlichen Anmut
Potion of the Old War|Trank des Alten Krieges
Unbending Potion|Unbeugsamer Trank
Leytorrent Potion|Leywirbeltrank
Flask of the Whispered Pact|Fläschchen des geflüsterten Pakts
Flask of the Seventh Demon|Fläschchen des Siebten Dämons
Flask of the Countless Armies|Fläschchen der zahllosen Armeen
Flask of Ten Thousand Scars|Fläschchen der zehntausend Narben
Spirit Cauldron|Geisterkessel
Searing Lash|Brennende Peitsche
Fel Destruction|Teufelszerstörung
Grasping Hand|Packende Hand
Build|Bauen
Flames of the Fallen|Flammen der Gefallenen
Razor Shards|Klingensplitter
Shadow Step|Schattenschritt
Storm Shock|Sturmschock
Fel Residue|Teufelsrückstände
Dismiss|Freigeben
Slag Trap|Schlickfalle
Summon Nethrandamus|Nethrandamus beschwören
Storm Breath|Sturmatem
Summon Altruis|Altruis beschwören
Inferno Blast|Infernoschlag
Bug Sprayer|Käferspray
Fel Channelling|Teufelskanalisierung
Chant of Fury|Furorgesang
Rancid Maw|Stinkendes Maul
Spectral Sight|Geistersicht
Summon Allari|Allari beschwören
Summon Illidari|Illidari beschwören
Soul Prison|Seelengefängnis
Unleashed Madness|Entfesselter Wahnsinn
Heavy Slash|Schweres Schlitzen
Eternal Hunger|Ewiger Hunger
Nightmare Torment|Alptraumqual
Deathly Shadows|Tödliche Schatten
Summon Addie|Addie beschwören
Addie Is Near|Addie ist in der Nähe
Summoning Imp|Wichtel beschwören
Carp|Karpfen
Willbreaker|Willensbrecher
Might of the Vrykul|Macht der Vrykul
Premonition|Vorahnung
Picking Up|Aufheben
Wild Transmutation|Wilde Transmutation
Ghostly Aura|Geisterhafte Aura
Fel Artillery|Teufelsartillerie
Cauldron Catalyst|Kesselkatalysator
Chaos Bomb|Chaosbombe
Smash n Bash|Immer feste druff!
Cold as Ice|Eiskalt
Ambidexterity|Beidhändigkeit
Dead of Winter|Tödlicher Winter
Crystalline Swords|Kristallene Schwerter
Ward Beam|Zauberschutzstrahl
Necrotic Spittle|Nekrotischer Speichel
King of the Jungle|König des Dschungels
Razor Ice|Schneidendes Eis
Burning Fire|Brennendes Feuer
The Twinblades of the Deceiver|Die Zwillingsklingen des Betrügers
Soul Eruption|Seeleneruption
Vampiric Cleave|Vampirspalten
Retched Belch|Hochgewürgter Rülpser
Earth Bolt|Erdblitz
Natural Mending|Natürliche Heilung
Empowered Chains of Fel|Mächtige Dämonenketten
Earth Surge|Erdwoge
Flame Trail|Flammenspur
Candle Toss|Kerzenwurf
Aquabomb|Aquabombe
Void Star|Leerenstern
Void Star Fixate|Leerensternfixierung
Rock Shredder|Felsschredder
Druidic Touch|Druidenberührung
Rush Order: Shipyard|Eilauftrag: Werft
Dark Pursuit|Dunkle Jagd
Overflowing Fel Energy|Überquellende Teufelsenergie
Incomplete Binding|Unvollendete Bindung
Nightmare Breath|Alptraumatem
Ping Gryphon Rider|Greifenreiter pingen
Vengeful Retreat|Rachsüchtiger Rückzug
Explosive Rounds|Sprenggeschosse
Dive Attack|Sturzflugangriff
Leaping Swipe|Prankenhiebsprung
Shadowburn Shot|Schattenbrandschuss
Plague-Dipped Arrows|Verseuchte Pfeile
Dark Conduit|Dunkle Verbindung
Spinning Glaive|Wirbelnde Gleve
Soul Conduit|Seelenverbindung
Called Shot|Ausgerufener Schuss
Seething Corruption|Brodelnde Verderbnis
Soulkeeper|Seelenbewahrerin
Bile|Eiterlarve
Demoralized|Demoralisierte
Gateway|Tor
Felblaze Orb|Teufelslohenkugel
Fel-Infused Webbing|Teufelserfüllte Spinnweben
Corrupted Overgrowth|Verderbte Überwucherung
Trailblazer|Bahnbrecher
Soul Vortex|Seelenvortex
Fel Crash|Teufelskracher
Source of Chaos|Quelle des Chaos
Summon Dragon|Drachen beschwören
Flying|fliegender
Unleashed Storm|Entfesselter Sturm
Divine Steed|Göttliches Ross
Seek Prey|Beute suchen
Legacy of the Windrunners|Erbstück von Haus Windläufer
Call of the Storm|Ruf des Sturms
Word of Versatility|Wort der Vielseitigkeit
Mark of the Claw|Mal der Klaue
Mark of the Distant Army|Mal der fernen Armee
Mark of the Hidden Satyr|Mal des verborgenen Satyrs
Horn of Helheim|Horn von Helheim
Ghost Form|Geistergestalt
Guardian Orbs|Wächterkugeln
Call of the Hunter|Ruf des Jägers
Shackled|In Ketten gelegt
Summon Navarrogg|Navarrogg beschwören
Swirling Storms|Wirbelnde Stürme
Drain Orb Light|Kugellicht entziehen
Snow Globe|Schneekugel
Storm Nova|Sturmnova
Blazing Swipe|Lodernder Schlag
Catching|Fangen
Horn of Valor|Horn der Ehre
Odd Gift|Merkwürdiges Geschenk
Breath of Corruption|Odem der Verderbnis
Hunting Companion|Jagdbegleiter
Piercing Shards|Stechende Splitter
Vantus Rune: Ursoc|Vantusrune: Ursoc
Illidari Reinforcements|Illidariverstärkung
Scourge the Unbeliever|Geißelt die Ungläubigen
Blast of Light|Lichtexplosion
Melee Override|Nahkampf aussetzen
Runic Tattoos|Runentätowierungen
Stormkeeper|Sturmhüter
Devastator Bombardment|Verwüsterbombardement
Gravitational Pull|Gravitationskraft
Pestilence|Pestilenz
Shimmer|Flimmern
Scavenging|Aasfressende
Violent Winds|Verheerende Winde
Fel Spirits|Dämonengeister
Stone Blitz|Steinige Eruption
Furious Flames|Wütende Flammen
Storm of Blades|Sturm der Klingen
Gust of Mists|Nebelschwall
Darkstrikes|Dunkelstöße
Foul Blast|Besudelter Schlag
Barbed Spear|Stachelspeer
Freezing Blast|Eisiger Stoß
Chained Soul|Angekettete Seele
Lantern of Darkness|Laterne der Dunkelheit
Spear of Light|Lichtspeer
Swirling Souls|Wirbelnde Seelen
Expel Light|Licht ausstoßen
Wind Rush Totem|Totem des Windsturms
Shattering Scream|Zerreißender Schrei
Shredding Cyclone|Schreddernder Zyklon
Releasing|Freilassen
Crashing Storm|Tosender Sturm
Stalker's Mark|Mal des Pirschers
Rallying|Anspornen
Pilfering|Stehlen
Master Assassin|Meisterassassine
Corrupted Seed|Verderbte Saat
Curse of the Depths|Fluch der Tiefen
Meat Shield|Fleischschild
Plagued|Verseuchte
Fixing|Reparatur
Bonebreaker|Knochenbrecher
Vampiric Fangs|Vampirzähne
Blood Feast|Blutiges Festmahl
Unending Thirst|Ewiger Durst
Ra-den's Fury|Ra-dens Zorn
Surging Waters|Wirbelnde Wasser
Elune's Light|Elunes Licht
Bag of Tricks|Trickkiste
Before We're Overrun: Fel Beam|Überrennt sie, bevor sie Euch überrennen: Teufelsstrahl
Helheim Exit Teleport|Ausgangsteleporter - Helheim
Mystic Tornado|Mystischer Tornado
Torrent of Souls|Seelenstrom
Lightning Strikes|Blitzschläge
Scroll of Forgotten Knowledge|Schriftrolle des vergessenen Wissens
Convincing Critter Disguise|Überzeugende Kleintierverkleidung
Kingsbane|Königsmord
Vantus Rune: Nythendra|Vantusrune: Nythendra
Vantus Rune: Il'gynoth, The Heart of Corruption|Vantusrune: Il'gynoth, das Herz der Verderbnis
Vantus Rune: Dragons of Nightmare|Vantusrune: Drachen des Alptraums
Vantus Rune: Xavius|Vantusrune: Xavius
Vantus Rune: Elerethe Renferal|Vantusrune: Elerethe Renferal
Vantus Rune: Cenarius|Vantusrune: Cenarius
Vantus Rune: Skorpyron|Vantusrune: Skorpyron
Vantus Rune: Chronomatic Anomaly|Vantusrune: Chronomatische Anomalie
Vantus Rune: Trilliax|Vantusrune: Trilliax
Vantus Rune: Spellblade Aluriel|Vantusrune: Aluriel die Zauberklinge
Vantus Rune: Tichondrius|Vantusrune: Tichondrius
Vantus Rune: High Botanist Tel'arn|Vantusrune: Hochbotaniker Tel'arn
Vantus Rune: Krosus|Vantusrune: Krosus
Vantus Rune: Star Augur Etraeus|Vantusrune: Sterndeuter Etraeus
Vantus Rune: Grand Magistrix Elisande|Vantusrune: Großmagistrix Elisande
Vantus Rune: Gul'dan|Vantusrune: Gul'dan
Grasp of Dargrul|Hand von Dargrul
Wild Carve|Wildes Schnitzen
The Jailer's Prison|Gefängnis des Wärters
Harpoon Stomp|Harpunenstampfen
Combat Stance|Kampfhaltung
Gore Charge|Bocksturm
Sand Dune|Sanddüne
Castigation|Züchtigung
Summon Mograine|Mograine beschwören
Idol of Rage|Götze des Zorns
Turbo Charge|Turbolader
Storm Conduit|Sturmleiter
Umbilicus Eternus|Blutnabel
Dancing Blade|Tanzende Klinge
Kvaldir Cage|Kvaldirkäfig
Dreamleaf|Traumlaub
Foxflower|Fuchsblume
Starlight Rose|Sternlichtrose
Felwort|Teufelswurz
Call Vethir|Vethir rufen
Jump to Fury Scenario|Sprung zum Furorszenario
Absorbing|Absorbieren
Call to the Void|Anrufung der Leere
Astral Portal|Astrales Portal
Bow|Verbeugen
Eternal Call to the Void|Ewige Anrufung der Leere
Mercenary Contract|Söldnervertrag
Tempest Attunement|Eins mit dem Sturm
Rising Tide|Brausende Flut
Fel Bombardment|Teufelsbombardement
Stinging Shards|Scharfkantige Splitter
Foxflower Scraps|Fuchsblumenreste
Soul Bind|Seelenbindung
Double Strike|Doppelschlag
Watery Splash|Wasserspritzer
Dragon's Wrath|Drachenzorn
Flame of Woe|Flamme des Kummers
Rowing|Rudern
Basic Dimensional Rifting|Einfache Dimensionsreisen
Spectre|Schreckgespenst
Curse of the Witch|Fluch der Hexe
Holy Prayer|Heiliges Gebet
Smoldering Infernal Core|Schwelender Höllenbestienkern
Aegis of Aggramar|Aegis von Aggramar
Retrieving the Doomhammer|Schicksalshammer aufnehmen
Dreamwalk|Traumwanderung
Call Eagle Spirit|Adlergeist rufen
Teleport: Hall of the Guardian|Teleport: Halle des Wächters
Shocked|Geschockt
Plant Seed|Samen pflanzen
Ragnarok|Apokalypse
Divide|Großmut
Eonar's Grace|Eonars Gnade
Abolish Magic|Magie aufheben
Mind Quickness|Mentale Schnelligkeit
Train of Thought|Gedankengang
