Original|Translated
Molten Flame|Жарчайшее пламя
Super Jump|Суперпрыжок
Stasis Field|Поле стазиса
Spirit Volley|Призрачный залп
Lucky|Везунчик
Spirit Shield|Духовный щит
Spirit Strike|Призрачный удар
Shadow Strikes|Теневые удары
Unbreakable|Несокрушимость
Fixated|Одержимость
Blessing of Elune|Благословение Элуны
Blessing of Cenarius|Благословение Кенария
Acidic Wound|Кислотная рана
Eject|Выставить
Deadly Aim|Смертноносная цель
Punishing Blow|Карающий удар
Fel Geyser|Гейзер Скверны
Dark Barrage|Темный огонь
Fel Rage|Ярость скверны
Swiftness|Быстрота
Arcane Beam|Луч тайной магии
Ancient Flames|Древнее пламя
Mine Cart|Вагонетка
Shadow Strike|Теневой удар
Caged|Заточение
Icy Leap|Ледяной прыжок
Burning Shadows|Пылающие Тени
Chaos Strike|Удар Хаоса
Apexis Crystal Infusion|Воздействие апекситового кристалла
Stitch Scales|Сшивание чешуи
Zoom In|Приблизить камеру
Summon Cannon|Вызов пушки
Saber Lash|Секущий удар
Banishment|Изгнание
Flame Crash|Поле пламени
Agonizing Flames|Пламенная боль
Dragonmaw Knockdown: The Aggro Check Aura|Драконья Пасть нокдаун: аура проверки агрессии
Dragonmaw Knockdown: The Aggro Check|Драконья Пасть нокдаун: проверка агрессии
Dragonmaw Knockdown: The Aggro Burst|Драконья Пасть нокдаун: выплеск агрессии
Dragonmaw Knockdown Choose Loc|Драконья Пасть нокдаун - выбрать локацию
Fatal Attraction|Смертельное притяжение
Doom Bolt|Стрела рока
Root|Движения
Jab|Дзуки
Draw Soul|Вбирание души
Paranoia|Паранойя
Shear|Иссечение
Shadow Resonance|Теневой резонанс
Whirling Blade|Крутящийся клинок
Copy Weapon|Копирование оружия
Blood Splash|Кровавое пятно
Bombing Run|Заход на цель
Consume Soul|Поглощение души
Silencing Shot|Глушащий выстрел
Aura of Dread|Аура ужаса
Throw Dagger|Бросок кинжала
Rapid Shot|Быстрострел
Throw Shield|Бросок щита
Teleport Visual Only|Телепортация, только визуальный эффект
Teleport Visual|Телепортация, визуальный эффект
Blood Drain|Похищение крови
Soul Blast|Взрыв души
Shared Suffering|Разделенные муки
Consuming Strikes|Снедающие удары
Aura of Suffering|Аура страдания
Balance of Power|Баланс сил
Seethe|Бурлящее недовольство
Spite|Злоба
Dementia|Безумие
Hypothermia|Гипотермия
Circle of Healing|Круг исцеления
Soul Release|Избавление души
Increased Mana Regen|Ускоренное восполнение маны
Iceblast|Взрыв Льда
Cleansing Flame|Очищающее пламя
Increased Stamina 05|Увеличение выносливости на 5
Increased Dodge|Повышение уклонения
Attack Power 10|Сила атаки 10
Attack Power 40|Сила атаки 40
Increased Stamina 20|Увеличение выносливости на 20
Increased Stamina 15|Увеличение выносливости на 15
Increased Armor 200|Улучшение брони 200
Increased All Resist 15|Повышенное сопротивление всему 15
Increased Parry 20|Улучшение парирования 20
Increased Agility 20|Увеличение ловкости 20
Expertise|Мастерство
Use Filled Brewfest Stein|Использовать полную кружку Хмельного фестиваля
Rampaging Charge|Неистовая атака
Debilitating Poison|Изнуряющий яд
Anger|Злость
Fists of Fury|Неистовые кулаки
Vomit|Рвота
Alert Drums|Тревожные барабаны
Summon Amani'shi Sentries|Вызов караульных из племени Амани
Protection|Защита
PvP Trinket|PvP-аксессуар
Water Bucket|Ведро для воды
Throw Bucket|Бросок ведра
Throw Skull|Бросок черепа
Axe Volley|Метание топора
Earth Explosion|Земляной взрыв
Brutal Strike|Жестокий удар
Throw Chum|Бросок еды
Throw Dragonflayer Fire Bomb|Бросок огненной бомбы клана Укротителей драконов
Furious Roar|Яростный рев
Alert|Тревога
Cloak of Darkness|Плащ Тьмы
Cannon Blast|Пушечный выстрел
Claw Rage|Яростные когти
Falling Star|Падающая звезда
Army of the Dead|Войско мертвых
Decrepify|Одряхление
Scourge Resurrection|Воскрешение Плети
Staggering Roar|Ошеломляющий рев
Dark Smash|Мощный удар
Dreadful Roar|Жуткий рев
Woe Strike|Удар скорби
Crunch Armor|Разламывание доспеха
Chaotic Flames|Пламя хаоса
Summon Banshee|Призыв банши
Conjure Refreshment|Сотворение яств
Upset Tummy|Расстроенный животик
Executioner|палач
Despawn Self|Пропадание
Spyglass|Подзорная труба
Eyes of the Eagle|Глаза орлицы
Deep Wound|Глубокая рана
Bone Breaker|Костолом
Summon Spirit Wolf|Призыв духа волка
Fire Wall|Стена огня
Poison Burst|Выброс яда
Halazzi Transform|Превращение Халаззи
Soul Infusion|Насыщение души
Shining Light|Сияющий свет
Flame Whirl|Пламенный вихрь
Pillar of Fire|Столб огня
Lynx Flurry|Ярость рыси
Throw Bottle|Швырнуть бутылку
Shoot Plague|Моровой выстрел
Feral Swipe|Звериный бросок
Rope Beam|Трассирующий луч
Spirit Bolts|Молнии духов
Chop|Рубящий удар
Shooting Gallery!|Тир!
Throw Spear|Бросок копья
Paralyzed|Парализация
Snake Trap|Змеиная ловушка
Complete Warsong Gulch Daily quest|Выполнение ежедневного задания ущелья Песни Войны
Complete Arathi Basin Daily quest|Выполнение ежедневного задания низины Арати
Siphon Soul|Вытягивание души
Frost Strike|Ледяной удар
Wind Blast|Порыв ветра
Static Disruption|Статический сбой
Electrical Storm|Электрическая буря
Electrical Arc|Электрическая дуга
Deactivate Runes|Деактивация рун
Idle|Безделье
Inactive|Бездействие
Heroic Image Channel|Поддержка героического образа
Left|Левая
Right|Правая
Hardened Skin|Затвердевшая кожа
Enlightened|Просветленный
Electrified|Электрический
Lightning Zap|Удар молнии
Summon Amani Charm Chest|Призывание волшебной шкатулки Амани
Grappling Hook|Погрузочный крюк
Flight|Полет
Grappling Beam|Цепляющий луч
Teleport to Target|Телепортация к цели
Warning|Внимание!
Purge Vehicle Control|Лишить управления техникой
Focused Assault|Сосредоточенная атака
Lucidity|Ясность
Thick Skin|Плотная кожа
Cauterize|Прижигание
Lurch!|Ням!
Retch!|Буээээ!
Bonegrinder|Костомол
You're a...!|Вы!..
Infect!|Зараза!
Vrykul Harpoon Gun|Врайкульская гарпунная пушка
Fiery Harpoon|Огненный гарпун
Conjure Refreshment Table|Сотворение стола с яствами
Fiery Lance|Огненная пика
Boosters|Ускорители
Tremendous Fortitude|Невероятная стойкость
Vrykul Harpoon QC|Врайкульский гарпун ЗВ
"""Well Fed"""|"""Сытость"""
Brewfest Drink|Напиток Хмельного фестиваля
Drain Power|Похищение мощи
Rocket Launch|Выстрел из ракетомета
Ride Harpoon|Полет на гарпуне
Flying Machine|Ветролет
Refreshment|Яства
Breathing Tube|Дыхательная трубка
Arcane Sphere|Волшебная сфера
Fel Explosion|Взрыв Скверны
Hawk Hunting|Ястребиная охота
Blackout|Затмение
Scavenge|Воровство
Soar|Парение
Arcane Barrage|Чародейский обстрел
Iron Rune Construct|Голем клана Железной Руны
Glaive Throw|Бросок глефы
Seal of Wrath|Печать гнева
Rocket Jump|Реактивный прыжок
Fel Armor|Доспех Скверны
Fel Lightning|Молния Скверны
Scourgebane|Руна проклятия Плети
Flight Control|Управление полетом
Flying Reindeer|Летающий северный олень
Lift Off|Взлет
Throw Ball|Бросок мяча
Spectral Realm|Призрачный мир
Eating|Еда
Storm's Fury|Неистовство Бури
Auto Grow|Автоматический рост
Spectral Blast|Призрачная вспышка
Encapsulate|Инкапсуляция
Fel Siphon|Конденсатор Скверны
Boulder Assault|Атака валуном
Whirlwind Off-Hand|Вихрь (левая рука)
Capacitor Discharge|Разряд конденсатора
Fel Consumption|Увядание Скверны
Curse of Boundless Agony|Проклятие безграничной агонии
Battle Trance|Упоение боем
Evasive Maneuvers|Маневр уклонения
Flaming Arrow|Пламенная стрела
Shadow Channelling|Поддержание Тьмы
Rocket Chicken|Турбоцыпленок
Throw Paper Zeppelin|Запуск бумажного дирижаблика
Meteor Slash|Удар метеора
Summon Dragonhawk|Вызов дракондора
Clone Me!|Клонирование себя
Pyrogenics|Пирогенез
Fireblast|Вспышка огня
Shadow Blades|Теневые клинки
Confounding Blow|Сбить с толку
Lightning Bolt Overload|Перегрузка молнии
Chain Lightning Overload|Перегрузка цепной молнии
Electrical Overload|Электрическая перегрузка
Inscription|Начертание
Empower|Усиление
Spit Fire|Огненный плевок
Soul Flay|Свежевание души
Cosmetic Hearthstone|Декоративный камень возвращения
Death Strike|Удар смерти
Light's Wrath|Гнев Света
Grab Passenger|Подобрать пассажира
Web Beam|Паутина
Commanding Shout|Командирский крик
Fog of Corruption|Туман Порчи
Strafe|Приставной шаг
Web Bolt|Паутинная стрела
Necropolis Beam|Луч некрополиса
Mist of the Kvaldir|Туман квалдиров
Darkness of a Thousand Souls|Тьма тысячи душ
Shrunk|Сжатие
Drop Warsong Land Mine|Мина клана Песни Войны
Shadow Infusion|Вливание Тьмы
Chains of Anguish|Цепи страдания
Soul Missile|Снаряд души
Corrosion|Коррозия
Stampede|Обращение в бегство
Sinister Reflection|Зловещее отражение
Blood Strike|Кровавый удар
Soul Sever|Отделение души
Dark Fiend|Исчадие тьмы
Slip|Скольжение
Bomb Explosion|Взрыв бомбы
Open Portal|Открытие портала
Darkness|мрак
Summon Dark Fiend|Вызов темного губителя
Negative Energy|Отрицательная энергия
Shadow Pulse|Заряд Тьмы
Trapped!|В ловушке!
Singularity|Своеобразие
Bear Down|Ошеломление
Black Hole|Черная дыра
Mammoth Charge|Рывок мамонта
Brutal Assault|Грубое нападение
Energy Transfer|Перенос энергии
Power of the Storm|Ярость шторма
Flash of Darkness|Вспышка Тьмы
Chilling Aura|Остужающая аура
Swat|Хлопок
Wind Buffet|Удар ветра
Deathfrost|Смертельный мороз
Wing Sweep|Сметание крылом
Break Ice|Раскол льда
Frostscythe|Ледяная коса
WHEE!|ВУХУУУ!
Subdued|Подчинение
Breaking|Разбивание
Personalized Weather|Погода на заказ
Wrath of Elune|Гнев Элуны
Boulder Impact|Удар валуном
Noxious Fumes|Ядовитый дым
Throw Boulder|Бросок валуна
Envision Drakuru|Предвидение Дракуру
Quest Complete|Задание выполнено
Crushed!|Разбито!
Piercing Fangs|Острые клыки
Crystal Handler Death|Смерть хрустального укротителя
Freezing Breath|Мерзлое дыхание
Strangulate|Удушение
Gnaw|Грыз
Summon Mole Machine|Вызов буровой установки
Mind Freeze|Заморозка разума
Camera Shake - Small|Сотрясение камеры - слабое
Penance|Исповедь
Draw Power|Впитывание энергии
Freezing Cloud|Леденящее облако
Empower Rune Weapon|Усиление рунического оружия
Dispersion|Слияние с Тьмой
Frozen Solid|Полная заморозка
Ice Barb|Ледяной шип
Gravity Well|Гравитационный колодец
Firebomb|Огнебомба
Guardian Spirit|Оберегающий дух
Arcane Trap|Волшебная ловушка
Meatsaw|Мясопилка
Blood and Thunder|Кровь и гром
Stunned|Оглушение
Crystal Spike|Кристальный шип
Twisting Blade|Танцующий клинок
Gather Lumber|Сбор пиломатериалов
Summon Crystal Spike|Призыв кристального шипа
Crystal Spikes|Кристальные шипы
Demonic Circle|Демонический круг
Summon the Brewmaiden|Вызов официантки
Summon the Black Brewmaiden|Вызов черной официантки
Place Offering|Принесение подношения
Heating Up|Разогрев
Scroll of Recall|Свиток возврата
Poison Breath|Тлетворное дыхание
Acid Splatter|Кислотный всплеск
Inner Fire|Внутренний огонь
Blighted|Друст
Righteous Fire|Праведный огонь
Bitter Brew|Горькое пойло
Blight Bomb|Чумная бомба
Rogues Deck|Колода Разбойников
Crush|Сокрушение
Swords Deck|Колода Мечей
Withering Roar|Губительный рев
Call Flames|Призыв пламени
Powerful Bite|Мощный укус
Fetid Rot|Смрадная гниль
Dark Slash|Черная рана
Bane|"Голина"""
Going Ape|Обезьянье безумие
Stun Self|Самооглушение
Damage|Урон
Tree of Life|Древо жизни
Puncture Wound|Колотая рана
Spirit Fount|Источник духа
Rune Detonation|Взрыв руны
Infected Wounds|Зараженные раны
Ride Shredder|Езда на крошшере
Short Circuit|Короткое замыкание
Backfire|Отдача
Summon Avenging Spirit Summoner|Призыв призывателя одержимого духа
Overclock|Убыстрение
Launch Harpoon|Запуск гарпуна
Burning Oil|Горящее масло
Bear Fishing|Медвежья рыбная ловля
Healing Beam|Исцеляющий луч
Icebound Fortitude|Незыблемость льда
Cast Net|Сеть
Feral Fury|Звериное неистовство
Fearsome Roar|Страшный рев
Grave Strike|Тяжелый разящий удар
Beast's Mark|Метка животного
Call of the Duskbringer|Зов Мраконосца
Burn Corpse|Сожжение трупа
Obliterate|Уничтожение
Dancing Rune Weapon|Танцующее руническое оружие
Ignite Fuel|Воспламенение
Fire Beam|Луч огня
Tranquilizer Dart|Усыпляющий дротик
Howling Blast|Воющий ветер
Summon Gargoyle|Призыв горгульи
Self-Destruct|Саморазрушение
Dismount|Спешивание
Dismount Passenger|Высадка пассажира
Blazing Speed|Молниеносность
Ice Prison|Ледяная тюрьма
Decay Flesh|Разложение плоти
Return to Earth|Предание земле
Throw Snowball|Бросок снежка
Shadow Volley|Град темных стрел
Ice Beam|Леденящий взгляд
Corpse Explode|Взрыв тела
Worgen Transform|Облик воргена
Death Grip|Хватка смерти
Fissure|Трещина
Stone Fist|Каменный кулак
Harpoon Chain|Цепь гарпуна
Napalm|напалм
Icy Touch|Ледяное прикосновение
Rune Punch|Клеймление
Internal Combustion|Внутреннее возгорание
Summon Ruby Flowers|Призыв рубиновых цветов
Rune of Destruction|Руна разрушения
Rocket-Propelled Goblin Grenade|Реактивно-пропеллерная гоблинская граната
Proximity Mines|Мины ближнего действия
Shock Lance|Укол копьем
Rocket Boost|Реактивное ускорение
Gassy|Газы
Slimed!|Рвота!
Wave Crash|Девятый вал
Cutting Laser|Лазерный резак
Blink Strike|Мгновенный удар
Smack|Хлопок
Plague Barrel|Бочонок с чумой
Plague Slime|Чумная слизь
Empowering Blows|Могучий размах
Energy Link|Энергетическая связь
Ice Spike|Ледяное острие
Draw Magic|Похищение магии
Zephyr|ветерок
Searing Wrath|Жгучий гнев
Blood Draw|Кровавое наполнение
Poisoned Spear|Отравленный дротик
Nimble Fingers|Быстрые пальцы
Sticky Web|Липкая паутина
Outbreak|Вспышка болезни
Disco Ball|Диско-шар
Survival Instincts|Инстинкты выживания
Leeching Poison|Похищающий жизнь яд
Flame Fury|Ярость пламени
Rot Armor|Гниение брони
Rock Shield|Каменный щит
Steam Blast|Струя пара
Bone Toss|Бросок кости
Magnataur Charge|Рывок магнатавра
Frostbite Weapon|Обмораживающее оружие
Devour Ghoul|Пожирание вурдалака
Anti-Magic Zone|Зона антимагии
Nourish|Покровительство природы
Arcane Jolt|Удар тайной магии
Paralyzing Slime|Парализующая слизь
Power Sap|Вытягивание силы
Carve Stone|Резьба по камню
Arcane Cleave|Удар тайной магии
Ice Shard|Осколок льда
Ice Boulder|Ледяной валун
Lightning Channel|Поддержание молнии
Eject All Passengers|Выставить всех пассажиров
Focus Beam|Луч средоточия
Conversion Beam|Луч превращения
Weakened Resolve|Слабоволие
Resuscitate|Воскрешение
Bleeding Out|Обильное кровотечение
Quest Credit|Метка задания
Plague Strike|Удар чумы
Lightning Charge|Разряд молнии
Charged Skin|Заряженная шкура
Raven Flock|Стая воронов
Thundering Stomp|Грохочущий топот
Energize Cores|Ядерная энергия
Summon Iron Dwarf|Призыв железного дворфа
Summon Malformed Ooze|Призыв искаженной слизи
Lightning Ring|Кольцо молний
Blood Boil|Вскипание крови
Boulder Toss|Бросок булыжника
Blood Mirror|Кровавое зеркало
Run Through|Насквозь!
Lightning Shock|Поражение громом
Death Gate|Врата смерти
Dark Matter|Темная сущность
Call Azure Ring Captain|Призыв Капитана лазурного кольца
Milling|Измельчение
Amplify Magic|Усиление магии
Shadow Barrage|Залп Тени
Time Bomb|Часовая бомба
Killing Machine|Машина для убийств
Searing Gaze|Пылающий туман
Place Banner|Установка знамени
Pillar of Frost|Ледяной столп
Chaos Bolt|Стрела Хаоса
Soulthirst|Жажда душ
Webs|Переплетение
Venture Company Beatdown!|Щедрость Торговой компании!
Summon Spider|Вызов паука
Smoldering Bones|Дымящиеся кости
Thunderstorm|Гром и молния
Burning Blaze|Жаркий пламень
Tidal Waves|Приливные волны
Bonk|Оплеуха
Taunt Flag|Флаг провокации
Ram|баран
Killing Spree|Череда убийств
Fan of Knives|Веер клинков
Emblazon Runeblade|Создание рунического клинка
Rotate|Вращение
Screams of the Dead|Крики мертвых
Rain of Darkness|Дождь Тьмы
Frostfire Bolt|Стрела ледяного огня
Static Discharge|Статический разряд
Spectral Strike|Призрачный удар
Lost Soul|Заблудшая душа
Typhoon|тайфун
Freya's Ward|Оберег Фрейи
The Brewmaiden's Blessing|Благословение официантки
Deathbolt|Смертоносный поток
Frost Cleave|Морозный удар
Bloodworm|Кровавый червь
Corrode Flesh|Разъедание плоти
Cleanse Spirit|Очищение духа
Call of the Dead|Зов мертвых
Undying Resolve|Бессмертная решительность
Scourge Disguise|Маскировка Плети
Homing Missile|Самонаводящаяся ракета
Axe Throw|Бросок топора
Charge Up|Подзарядка
Burning Fists|Пылающие кулаки
Explosive Rune|Взрывающаяся руна
Eject Passenger 3|Катапультирование пассажира 3
Leaping Face Maul|Размашистый тумак
Devour Humanoid|Пожирание гуманоида
Squish|Расплющивание
Shattering Stomp|Раскатистый топот
Temper|Пламенрав
Charm Channel|Поддержание подчинения
Lightning Burst|Вспышка молнии
Violent Crash|Жестокий удар
Boulder Throw|Бросок валуна
Realm of Shadows|Страна теней
Furious Charge|Яростный рывок
Shadow Pounce|Прыжок тени
Hurl Boulder|Бросок валуна
Devour Flesh|Пожирание плоти
Scorched Earth|Выжженная земля
Deflection|Отражение
Swarm|упырей
Summon Ghouls|Призывание вурдалаков
Burst at the Seams|Треск по всем швам
Ghoulplosion|Вурдалакотрясение
Hemotoxin|Гемотоксин
Cannonball|Выстрел из пушки
Void Strike|Удар Пустоты
Void Shield|Щит Бездны
Accelerate|Увеличение скорости
Time Shift|Временной сдвиг
Dull Weapons|Затупление оружия
Temporal Vortex|Временная воронка
Static Overload|Статическая перегрузка
Arcane Wave|Чародейская волна
Voodoo Doll|Кукла вуду
Constricting Chains|Удушающие оковы
Lightning Charged|Заряд молнии
Steal Flesh|Похищение плоти
Terrified|В ужасе
Hurl Weapon|Бросок оружия
Piercing Arrow|Пронзающая стрела
Barbed Net|Колючая сеть
Arc Weld|Дуговая сварка
Time Warp|Искажение времени
Disperse|Рассеяние
Wounding Strike|Ранящий удар
Interrogation|Допрос
Molten Fury|Раскаленное неистовство
Counterattack|Контратака
Spike Trap|Шипастая ловушка
Spell Damping|Подавление чар
Thunderbolt|Громовая стрела
Poisonous Cloud|Отравляющее облако
Arc Lightning|Дуговая молния
Pulsing Shockwave|Шоковые волны
Lightning Whirl|Вихрь молний
Lightning Nova|Вспышка молнии
Spark Frenzy|Искра бешенства
Duel Flag|Дуэльный флаг
Summon Anub'ar Champion|Призыв ануб'арского воителя
Summon Anub'ar Necromancer|Призыв ануб'арского некроманта
Summon Anub'ar Crypt Fiend|Призыв ануб'арского некроарахнида
Flurry of Claws|Шквал когтей
Electro Shock|Электрошок
Charged Flurry|Шквальная атака
Poison Tipped Spear|Отравленное копье
Cover|Укрытие
Runic Focus|Руническое средоточие
Worgen's Blood|Кровь воргена
Spike Bomb|Шипастая бомба
Volatile Trap|Неустойчивая ловушка
Ensnaring Trap|Оплетающая ловушка
Chimaera Shot|Выстрел химеры
Apocalypse|Конец света
Assassinate|Ликвидация
Unstable Energy|Нестабильная энергия
Careful Aim|Верная цель
Invigoration|Окрыление
Master's Call|Приказ хозяина
Animate Bones|Оживление костей
Kill Shot|Убийственный выстрел
Sanctified Wrath|Священный гнев
Divine Storm|Божественная буря
Acid Cloud|Едкое облако
Web Grab|Паукохват
Bear Trap|Капкан на медведя
Leeching Swarm|Жуки-трупоеды
Emerge|Появление
Carrion Beetles|Жуки-падальщики
Beacon of Light|Частица Света
Infusion of Light|Прилив Света
Hammer of the Righteous|Молот праведника
Shield of the Righteous|Щит праведника
Dart|Лягушка
The Light of Dawn|Сияние рассвета
Unholy Blight|Нечестивая порча
Poisoned Fangs|Ядовитые клыки
Soul Feast|Пир душ
Rebuke|Укор
Fierce Winds|Свирепые ветра
Pygmy Oil|Карломасло
Trespasser!|Нарушитель!
Shadow Bite|Укус Тьмы
Knockback Ball Passive|Откидывающий шар - пассивная
Summon Ethereal Sphere|Вызов эфирной сферы
Incite|Побуждение
Water Blast|Водный взрыв
Lava Burn|Раскаленная лава
Water Globule|Водяная гранула
Splatter|Брызги
Web Shot|Паутинный выстрел
Mark of Darkness|Знак тьмы
Void Shift|Вхождение в Бездну
Burst|лавы
Water Wall|Водяной вал
Ray of Pain|Луч боли
Jump Attack|Атакующий прыжок
Shroud of Darkness|Покров тьмы
Torment|агония
Whirling Winds|Воздушные вихри
Serpent Strike|Разящий удар змеи
Form Check|Проверка формы
Spirit Burn|Палящий дух
Incorporeal|Бесплотность
Sapper Charge|Саперный заряд
Ablaze|Жар
Cold Feet|Холодные ноги
Teleport to Heart of Acherus|"Телепорт в Сердце ""Акеруса"""
Mortal Strikes|Смертельные удары
Teleport to Hall of Command|Телепорт в Зал Власти
Bone Saw|Костяная пила
Abandon Vehicle|Покинуть транспорт
Purified Spirit|Чистый дух
Mojo Volley|Град амулетов
Nitro Boosts|Нитроускорители
Missiles|Ракеты
Sawblade|Циркулярная пила
Skewer|Вертел
Ticking Bomb|Тикающая бомба
Bolthorn's Rune of Flame|Руна пламени Болторна
Venom Bolt|Ядовитая молния
Face Me|Встретиться лицом к лицу со мной
Fire Extinguisher|Тушитель огня
Flame Spit|Огненный плевок
Blood Plague|Кровавая чума
Poison Nova|Ядовитая звезда
Unlock Shackle|Разбить цепи
Frost Fever|Озноб
Hysteria|Истерия
Avalanche|Лавина
Whirling Slash|Вихревой удар
Siege Shell|Снаряд осадной машины
Drink Wine|Глоток вина
Helm of Command|Шлем властности
Ravenous Hunger|Неутолимый голод
Brutal Swipe|Грубый взмах
Siphon Power|Выкачивание силы
Siphoned Power|Почерпнутая сила
Chromie Whisper|Хроми Шепот
Grabbed|Захват
Summon Flower|Создание цветка
Jump!|Прыжок!
Cosmetic - Sleep Zzz|Сон
Collapsing Cave|Разрушение пещеры
Frost Spit|Ледяной плевок
Call of Earth|Зов Земли
Summon Earthen|Призыв земельника
Mechano-Hog|Механоцикл
Healing Winds|Исцеляющие ветра
Clean|Уход
Necrotic Aura|Мертвенная аура
Puncturing Strike|Колющий удар
Death Plague|Смертельная чума
Mojo Puddle|Водоем колдунства
Regurgitate|Срыгивание
Stampede!|Бежим!
Cosmetic - Sleep Zzz Breakable|Сон
Accelerated|Модуль
Massive Stomp|Тяжелый топот
Power Spark|Искра мощи
Shadow Void|Тень Бездны
Orb of Frost|Сфера льда
Magma Wave|Магматическая волна
Sear Beam|Обжигающий луч
Eye Gouge|Удар по глазам
Heart Strike|Удар в сердце
Portal Beam|Луч портала
Hover Fall|Затяжной прыжок
Dark Command|Темная власть
Web Rope|Веревка из паутины
Broken Oath|Нарушенная клятва
Kindred Spirits|Родственные души
Blind Faith|Слепая вера
Arcane Overload|Волшебная перегрузка
Storm Hammer|Грозовой молот
Frozen Siegebolt|Морозный осадный снаряд
Mechanized Snow Goggles|Механизированные снегозащитные очки
Surge of Power|Прилив мощи
Blessing of Might|Благословение могущества
Blessing of Kings|Благословение королей
Seething Flames|Кипящее пламя
Tangled Webs|Липкие путы
Steady Shot|Верный выстрел
Summon Brann Bronzebeard|Вызов Бранна Бронзоборода
Grip|Хватка
Shadow Sickle|Темный серп
Aura of Lost Hope|Аура потерянной надежды
Drink Alcohol|Употребление алкоголя
Roar|"Урсока"""
Close Rift|Закрытие расселины
Wailing Winds|Завывающие ветра
Detection|Обнаружение
Gale|Борей
Storm Call|Зов бури
Pyrobuffet|Огнепых
Flame Shield|Пламенный щит
Lords Deck|Колода Властителей
Horn of Winter|Зимний горн
Retrieving|Подобрать
Storm Cloud|Грозовая туча
Arcane Pulse|Чародейский импульс
Frostbite|Обморожение
Arcane Storm|Чародейская буря
Squall|Шквал
Insanity|безумия
Touch of the Val'kyr|Прикосновение валь'киры
Shadow Breath|Темное дыхание
Lava Strike|Лавовый удар
Twilight Shift|Сумеречный сдвиг
Magma|Магматический
Totem of Wrath|Тотем гнева
Sated|Пресыщение
Heroic Throw|Героический бросок
Beam of Light|Луч света
Summon Ghoul|Вызов вурдалака
Tricks of the Trade|Маленькие хитрости
Twilight Torment|Сумеречная пытка
Shiver|Трепет
Wind Shear|Пронизывающий ветер
Portal Channel|Поддержание портала
Summon Mason|Вызов Мейсона
Threat Pulse|Пульсирующая угроза
Spectral Wolf|Волк-призрак
Heave|Бросок
Portal to Orgrimmar|Портал в Оргриммар
Portal to Stormwind|Портал в Штормград
Arcane Empowerment|Чародейское могущество
Sad|Тоска
Angry|Злая
Scared|Страх
Deep Freeze|Глубокая заморозка
Ethereal|Эфириал
Teleport to Lake Wintergrasp|Телепорт к озеру Ледяных Оков
Rock Shards|Каменные осколки
Uncontrollable Energy|Неконтролируемая энергия
Geist|Стая
Spirit Leap|Прыжок духа
Spirit Walk|Поступь духа
Soul Cleave|Раскалывание душ
Summon Darion Mograine|Призыв Дариона Могрейна
Crushing Leap|Резкий наскок
Choking Cloud|Удушающее облако
Shadowmeld|Слиться с тенью
Rime|Иней
Vial of Blight|Сосуд гнили
Throw Weapon|Бросок оружия
Switch Seats|Смена мест
Enraged|Разъяренный
Blight Cloud|Гнилостное облако
Blight Barrel|Бочка гнили
Eject!|Выброс!
Teleporting|Телепортация
Suppressive Fire|Подавляющий обстрел
Portal to Undercity|Портал в Подгород
Splash|Всплеск
Accuracy|Меткость
Anti-Air Rocket|Противовоздушная ракета
Throw Harpoon|Метание гарпуна
Underbelly Elixir|Эликсир Клоаки
Ticking Time Bomb|Тикающая часовая бомба
Ground Spike|Земляной шип
Will to Survive|Воля к жизни
Grand Ice Mammoth|Большой ледяной мамонт
Drained|маны
Hooked|Крюк
Launch Spear|Метание копья
Summon Minions|Призыв слуг
Summon Fetid Troll|Вызов зловонного тролля
Mages Deck|Колода Магов
Demons Deck|Колода Демонов
Flow of Time|Поток времени
Now is the Time!|Время настало!
Demonic Blast|Демонический удар
Lava Lash|Вскипание лавы
Ancient Curse|Древнее проклятие
Elemental Fury|Неистовство стихий
Collect Sample|Взятие образца
Portal Collapse|Разрушение портала
Sniper Shot|Снайперский выстрел
Mekgineer's Chopper|Анжинерский чоппер
Volatile Acid|Летучая кислота
Coin Toss|Бросок монетки
Ascension|Восхождение
Exit Portal|Выход (портал)
Strength of Wrynn|Сила Ринна
Greater Mass Teleport|Большой массовый телепорт
Spark of Life|Искра жизни
Fatal Strike|Фатальный удар
Eject Passenger 1|Катапультирование пассажира 1
Necrotic Strike|Некротический удар
Plague Bite|Жало чумы
Massacre|Резня
Create Alumeth's Remains|Создание останков Алумета
Shadow Crash|Темное сокрушение
Smolder|Пепел
Dark Lightning|Зловещая туча
Zombie Horde|Орда зомби
Plague Blast|Заряд чумы
Belly Flop|Сокрушающее пузо
Punt|Удар ногой
Ember Shower|Янтарный ливень
Extinguish Fire|Тушение пожара
Slide|Скольжение
Repulsion|Отталкивающие
Mission Complete|Задание выполнено
Dominate|Доминирование
Dominated|Подчиненный
Charged Smash|Удар с размаху
Smelting|Выплавка металлов
Infinite Power|Безграничная сила
Kirin Tor Familiar|Фамилиар Кирин-Тора
Demonic Soul|Душа демона
Mark of Blood|Кровавая метка
Shoot Air Rifle|Выстрел из пистолетика
Flaming Ball|Горящее ядро
Drenched|Жидкий
Lightning Tendrils|Живые молнии
Overwhelming Power|Переполняющая энергия
Meltdown|Оплавление
High Voltage|Высокое напряжение
Rune of Power|Руна мощи
Rune of Summoning|Руна призыва
Petrifying Breath|Каменящее дыхание
Biting Cold|Трескучий мороз
Stone Grip|Каменная хватка
Hand of Reckoning|Длань расплаты
