Original|Translated
Deathbolt|Trait de mort
Frost Cleave|Enchaînement de givre
Bloodworm|Ver de sang
Corrode Flesh|Ronger la chair
Cleanse Spirit|Purifier l'esprit
Call of the Dead|Appel des morts
Undying Resolve|Résolution immortelle
Scourge Disguise|Déguisement du Fléau
Homing Missile|Projectile guidé
Axe Throw|Lancer de hache
Charge Up|Charger
Burning Fists|Poings ardents
Explosive Rune|Rune explosive
Eject Passenger 3|Ejection du passager 3
Leaping Face Maul|Attaque bondissante au visage
Devour Humanoid|Dévorer un humanoïde
Squish|Ecrabouiller
Shattering Stomp|Piétinement fracassant
Temper|Hargne
Charm Channel|Canalisation de charme
Lightning Burst|Explosion de foudre
Violent Crash|Impact violent
Boulder Throw|Lancer un rocher
Realm of Shadows|Royaume des ombres
Furious Charge|Charge furieuse
Shadow Pounce|Traquenard des ombres
Hurl Boulder|Lancer un rocher
Devour Flesh|Dévorer la chair
Scorched Earth|Terre brûlée
Deflection|Déviation
Swarm|Essaim
Summon Ghouls|Invocation de goules
Burst at the Seams|Plein à craquer
Ghoulplosion|Explogoule
Hemotoxin|Hémotoxine
Cannonball|Boulet de canon
Void Strike|Frappe du Vide
Void Shield|Bouclier de vide
Accelerate|Accélérer
Time Shift|Changement temporel
Dull Weapons|Emousser les armes
Temporal Vortex|Vortex temporel
Static Overload|Surcharge statique
Arcane Wave|Vague arcanique
Voodoo Doll|Poupée vaudou
Constricting Chains|Chaînes étrangleuses
Lightning Charged|Chargé de foudre
Steal Flesh|Vol de chair
Terrified|Terrifié
Hurl Weapon|Lancer une arme
Piercing Arrow|Flèche dentelée
Barbed Net|Filet barbelé
Arc Weld|Soudure à l'arc
Time Warp|Distorsion temporelle
Disperse|Se disperser
Wounding Strike|Frappe de lésion
Interrogation|Interrogatoire
Molten Fury|Fureur de lave
Counterattack|Contre-attaque
Spike Trap|Piège à clous
Spell Damping|Amortissement des sorts
Thunderbolt|Trait de tonnerre
Poisonous Cloud|Nuage toxique
Arc Lightning|Arc éclair
Pulsing Shockwave|Onde de choc vibrante
Lightning Whirl|Éclair tourbillonnant
Lightning Nova|Nova de foudre
Spark Frenzy|Frénésie d'étincelles
Duel Flag|Drapeau de duel
Summon Anub'ar Champion|Invocation d'un champion anub'ar
Summon Anub'ar Necromancer|Invocation d'un nécromancien anub'ar
Summon Anub'ar Crypt Fiend|Invocation d'un démon des cryptes anub'ar
Flurry of Claws|Déluge de griffes
Electro Shock|Electrochoc
Charged Flurry|Déluge chargé
Poison Tipped Spear|Lance trempée de poison
Cover|Cachette
Runic Focus|Focalisation runique
Worgen's Blood|Sang de worgen
Spike Bomb|Bombe à clous
Volatile Trap|Piège volatil
Ensnaring Trap|Piège d'enracinement
Chimaera Shot|Tir de la chimère
Assassinate|Assassiner
Unstable Energy|Énergie instable
Careful Aim|Visée minutieuse
Invigoration|Revigoration
Master's Call|Appel du maître
Animate Bones|Animer les os
Kill Shot|Tir mortel
Sanctified Wrath|Courroux sanctifié
Divine Storm|Tempête divine
Acid Cloud|Nuage d'acide
Web Grab|Saisie au filet
Bear Trap|Piège à ours
Leeching Swarm|Essaim sangsue
Emerge|Emerger
Carrion Beetles|Nécrophores
Beacon of Light|Guide de lumière
Infusion of Light|Imprégnation de lumière
Hammer of the Righteous|Marteau du vertueux
Shield of the Righteous|Bouclier du vertueux
Dart|Grenouille
The Light of Dawn|La Lumière de l'aube
Unholy Blight|Chancre impie
Poisoned Fangs|Crocs empoisonnés
Soul Feast|Festin d'âme
Rebuke|Réprimandes
Fierce Winds|Vents féroces
Pygmy Oil|Huile de pygmée
Trespasser!|Un intrus !
Shadow Bite|Morsure de l'ombre
Knockback Ball Passive|Repousser balle (passif)
Summon Ethereal Sphere|Invocation d'une sphère éthérée
Incite|Emulation
Water Blast|Rafale d'eau
Lava Burn|Brûlure de lave
Water Globule|Globule d'eau
Splatter|Éclaboussement
Web Shot|Tir de rets
Mark of Darkness|Marque des ténèbres
Void Shift|Passage dans le Vide
Burst|Explosion
Water Wall|Mur d'eau
Ray of Pain|Rayon de douleur
Jump Attack|Attaque bondissante
Shroud of Darkness|Voile de ténèbres
Torment|figé
Whirling Winds|Vents tourbillonnants
Serpent Strike|Frappe de serpent
Form Check|Vérification de la forme
Spirit Burn|Brûlure de l'esprit
Incorporeal|Incorporel
Sapper Charge|Charge de sapeur
Ablaze|Embraser
Cold Feet|Pieds froids
Teleport to Heart of Acherus|Téléportation au Cœur d'Achérus
Mortal Strikes|Frappes mortelles
Teleport to Hall of Command|Téléportation vers la Salle de commande
Bone Saw|Scie d'os
Abandon Vehicle|Abandon du véhicule
Purified Spirit|Esprit purifié
Mojo Volley|Salve de mojo
Nitro Boosts|Nitro-survolteurs
Sawblade|Lame de scie
Skewer|Embrocher
Rocket|Poulet
Ticking Bomb|Bombe toquante
Bolthorn's Rune of Flame|Rune de flamme de Bolthorn
Venom Bolt|Éclair de venin
Face Me|Affrontez-moi
Fire Extinguisher|Extincteur
Flame Spit|Crachat enflammé
Blood Plague|Peste de sang
Poison Nova|Nova de poison
Unlock Shackle|Déverrouiller la chaîne
Frost Fever|Fièvre de givre
Hysteria|Hystérie
Whirling Slash|Tourbillon tranchant
Siege Shell|Obus du siège
Drink Wine|Boire du vin
Helm of Command|Heaume de commandement
Ravenous Hunger|Faim dévorante
Brutal Swipe|Balayage brutal
Siphon Power|Absorption de la puissance
Siphoned Power|Puissance absorbée
Chromie Whisper|Murmure de Chromie
Grabbed|Saisi
Summon Flower|Invocation d'une fleur
Jump!|Saut !
Cosmetic - Sleep Zzz|Cosmétique - Sommeil Zzz
Collapsing Cave|Effondrement de la caverne
Frost Spit|Crachat de givre
Call of Earth|Appel de la terre
Summon Earthen|Invocation d'un terrestre
Mechano-Hog|Mécabécane
Healing Winds|Vents de soin
Clean|Ondulin
Necrotic Aura|Aura nécrotique
Puncturing Strike|Attaque transperçante
Death Plague|Peste mortelle
Mojo Puddle|Flaque de mojo
Regurgitate|Régurgitation
Stampede!|Ruée !
Cosmetic - Sleep Zzz Breakable|Cosmétique - Sommeil Zzz (peut être brisé)
Accelerated|Hélicidé
Massive Stomp|Piétinement violent
Power Spark|Etincelle de puissance
Shadow Void|Vide d'ombre
Orb of Frost|Orbe de givre
Magma Wave|Vague de magma
Sear Beam|Rayon d'incandescence
Eye Gouge|Crève-œil
Heart Strike|Frappe au cœur
Portal Beam|Rayon du portail
Hover Fall|Tomber en planant
Dark Command|Sombre ordre
Web Rope|Corde du filet
Broken Oath|Serment rompu
Kindred Spirits|Ames sœurs
Blind Faith|Foi aveugle
Arcane Overload|Surcharge arcanique
Storm Hammer|Marteau des tempêtes
Frozen Siegebolt|Éclair de siège gelé
Mechanized Snow Goggles|Lunettes de glacier mécanisées
Surge of Power|Vague de puissance
Blessing of Might|Bénédiction de puissance
Blessing of Kings|Bénédiction des rois
Seething Flames|Flammes bouillonnantes
Tangled Webs|Toiles enchevêtrées
Steady Shot|Tir assuré
Summon Brann Bronzebeard|Invocation de Brann Barbe-de-Bronze
Grip|Poigne
Shadow Sickle|Faucille de l'ombre
Aura of Lost Hope|Aura de l'espoir perdu
Drink Alcohol|Boire de l'alcool
Roar|d'Ursoc
Close Rift|Fermeture de la faille
Wailing Winds|Vents gémissants
Detection|Détection
Gale|Trombe
Storm Call|Appel de la tempête
Pyrobuffet|Rafale pyrotechnique
Flame Shield|Bouclier de flammes
Lords Deck|Suite de Seigneurs
Horn of Winter|Cor de l’hiver
Retrieving|Récupération
Storm Cloud|Nuage d'orage
Arcane Pulse|Impulsion arcanique
Frostbite|Morsure de givre
Arcane Storm|Orage arcanique
Squall|Grain
Insanity|Insanité
Touch of the Val'kyr|Toucher des Val'kyr
Shadow Breath|Souffle d'ombre
Lava Strike|Frappe de lave
Twilight Shift|Transfert crépusculaire
Magma|magma
Totem of Wrath|Totem de courroux
Sated|Rassasié
Heroic Throw|Lancer héroïque
Beam of Light|Rayon de Lumière
Summon Ghoul|Invocation d'une goule
Tricks of the Trade|Ficelles du métier
Twilight Torment|Tourment crépusculaire
Shiver|Frisson
Wind Shear|Cisaille de vent
Portal Channel|Canalisation de portail
Summon Mason|Invocation d'un maçon
Spectral Wolf|Loup spectral
Heave|Projection
Portal to Orgrimmar|Portail vers Orgrimmar
Portal to Stormwind|Portail vers Hurlevent
Arcane Empowerment|Renforcement arcanique
Sad|Triste
Angry|En colère
Scared|Apeuré
Deep Freeze|Congélation
Ethereal|Citoyen
Teleport to Lake Wintergrasp|Téléportation au lac Joug-d'hiver
Rock Shards|Éclats de pierre
Uncontrollable Energy|Énergie incontrôlable
Spirit Leap|Bond spirituel
Spirit Walk|Marche de l'esprit
Soul Cleave|Division de l'âme
Summon Darion Mograine|Invocation de Darion Mograine
Crushing Leap|Bond écrasant
Choking Cloud|Nuage asphyxiant
Shadowmeld|Camouflage dans l'ombre
Rime|Frimas
Vial of Blight|Fiole de chancre
Throw Weapon|Lancer l'arme
Switch Seats|Échanger les sièges
Enraged|enragé
Blight Cloud|Nuage chancreux
Blight Barrel|Tonneau chancreux
Eject!|Ejection !
Teleporting|Téléportation
Suppressive Fire|Feu répressif
Portal to Undercity|Portail vers Fossoyeuse
Splash|Éclaboussure
Accuracy|Précision
Anti-Air Rocket|Fusée antiaérienne
Throw Harpoon|Lancer de harpon
Underbelly Elixir|Élixir des Entrailles
Ticking Time Bomb|Bombe à retardement toquante
Ground Spike|Pointe terrestre
Will to Survive|Volonté de survie
Grand Ice Mammoth|Grand mammouth des glaces
Drained|Ame
Hooked|Pris au crochet
Launch Spear|Jet de lance
Summon Minions|Invocation de serviteurs
Summon Fetid Troll|Invocation d'un Troll fétide
Mages Deck|Suite de Mages
Demons Deck|Suite de Démons
Flow of Time|Courant du temps
Now is the Time!|L'heure est venue !
Demonic Blast|Explosion démoniaque
Lava Lash|Fouet de lave
Ancient Curse|Malédiction ancestrale
Elemental Fury|Fureur élémentaire
Collect Sample|Prélèvement d'un échantillon
Portal Collapse|Effondrement du portail
Sniper Shot|Tir de sniper
Mekgineer's Chopper|Bécane de mekgénieur
Volatile Acid|Acide volatil
Coin Toss|Jeter une pièce
Exit Portal|Portail de sortie
Strength of Wrynn|Force de Wrynn
Greater Mass Teleport|Téléportation de masse supérieure
Spark of Life|Etincelle de vie
Fatal Strike|Frappe fatale
Eject Passenger 1|Ejection du passager 1
Necrotic Strike|Frappe nécrotique
Plague Bite|Morsure de peste
Create Alumeth's Remains|Création des restes d'Alumeth
Shadow Crash|Déferlante d'ombre
Dark Lightning|Sombre éclair
Zombie Horde|Horde de zombies
Plague Blast|Déflagration de peste
Belly Flop|Chute sur le ventre
Punt|Coup de volée
Ember Shower|Avalanche de braises
Extinguish Fire|Eteindre le feu
Slide|Glissade
Repulsion|Répulsion
Mission Complete|Mission terminée
Dominate|Dominer
Dominated|Gronnlin
Charged Smash|Violent coup chargé
Smelting|Fonte
Infinite Power|Pouvoir infini
Kirin Tor Familiar|Familier du Kirin Tor
Demonic Soul|Ame démoniaque
Mark of Blood|Marque de sang
Shoot Air Rifle|Tir de carabine à air comprimé
Achievement Check|Vérification de haut fait
Flaming Ball|Boule enflammée
Drenched|d'acide
Lightning Tendrils|Vrilles d'éclair
Overwhelming Power|Puissance accablante
Meltdown|Fusion
High Voltage|Haute tension
Rune of Power|Rune de puissance
Rune of Summoning|Rune d'invocation
Petrifying Breath|Souffle pétrifiant
Biting Cold|Froid mordant
Stone Grip|Poigne de pierre
Hand of Reckoning|Main de rétribution
Unstable Sun Beam|Rayon de soleil instable
Photosynthesis|Photosynthèse
Mirror Name|Reflet du nom
Brightleaf Flux|Flux de Brillefeuille
Solar Flare|Éruption solaire
Shield of Runes|Bouclier des runes
Iron Roots|Racines de fer
Thorn Swarm|Essaim épineux
Tar|Goudron
Cosmic Smash|Choc cosmique
Speed Boost|Gain de vitesse
Barbed Shot|Tir acéré
Runic Shield|Bouclier de runes
Hookshot|Harponnage
Runic Lightning|Éclair runique
Shield Smash|Frappe de bouclier
Petrified Bark|Ecorce pétrifiée
Runic Barrier|Barrière runique
Fists of Stone|Poings de pierre
Steam Rush|Bouffée de vapeur
Broken Bones|Os brisés
Molten|Sporoptère
Battering Ram|Bélier ravageur
Brittle|Fragile
Brightleaf's Essence|Essence de Brillefeuille
Flame Vents|Décharges de flammes
Missile Barrage|Barrage de projectiles
Searing Flame|Flamme incendiaire
Fan the Flames|Attiser les flammes
Ice Shards|Éclats de glace
Snowdrift|Congère
Frozen Blows|Coups gelés
Grab Crate|Saisir la caisse
Throw Grenade|Lancer une grenade
Teldrassil Sproutling|Jeune pousse de Teldrassil
Shock Grenade|Grenade commotionnante
Harpoon Shot|Tir au harpon
Eject Passenger 2|Ejection du passager 2
Thrust|Coup de lance
Enchanted Broom|Balai enchanté
Shield-Breaker|Brise-bouclier
Nature's Fury|Fureur de la nature
Power Word: Barrier|Mot de pouvoir : Barrière
Pheromones|Phéromones
Sunbeam|Rayon de soleil
Shackle|Entrave
Lightning Lash|Fouet foudroyant
Surge of Darkness|Vague de ténèbres
Hardened Bark|Ecorce durcie
Flame Jets|Flots de flammes
Aura of Despair|Aura de désespoir
Fury of the Storm|Fureur de l'orage
Grab|Attraper
Slag Pot|Marmite de scories
Mounted Melee Victory|Victoire en mêlée sur une monture
Hardened|Mutin
Throw Javelin|Lancer le javelot
Energy Orb|Orbe d'énergie
Harpooned|Harponnage
Starlight|Lumétoile
Boom!|Boum !
Lumberjackin'|Bûcheronnage
Sandbox Tiger|Tigre de bac à sable
Summon Guardian|Invocation d'un gardien
Chop Tree|Couper l'arbre
Gravity Bomb|Bombe à gravité
Force Cast|Forcer incantation
Rocket Strike|Frappe de fusée
Summon Wood|Invocation de bois
Sanity|Santé mentale
Frost Bite|Morsure du givre
Devouring Flame|Flamme dévorante
P3Wx2 Laser Barrage|Barrage laser P3Wx2
Jet Pack|Propulseurs
Saronite Vapors|Vapeurs de saronite
Justice|justice
Overhead Smash|Frappe écrasante
Dusty Explosion|Explosion de poussière
Rapid Burst|Explosion rapide
Spinning Up|Accélération
Supercharged|Etat de supercharge
Dark Transformation|Sombre transformation
Desolation|Désolation
Lightning Brand|Tison d'éclairs
Ravage Armor|Ravage de l'armure
Napalm Shell|Obus napalm
Plasma Ball|Boule de plasma
Void Wave|Vague de Vide
Void Barrier|Barrière de Vide
Storm Power|Puissance de la tempête
Stone Shout|Cri de pierre
Lightning Arc|Arc de foudre
Rumble|Grondement
Falling Rubble|Chute de débris
Create Lance|Création d'une lance
Disguise|Déguisement
New Moon|Nouvelle lune
Lunge|Fente
Squeeze|Écrasement
Body and Soul|Corps et âme
Erupt|Surgissement
Curse of Doom|Malédiction funeste
Empowered|Manafiel
Weakened|Crochet
Lunatic Gaze|Regard lunatique
Overcharged|Surchargé
Hand Pulse|Impulsion de la main
Strength of the Pack|Force de la meute
Rip Flesh|Déchirure de chair
Barrel Toss|Lancer de tonneau
Shattering Throw|Lancer fracassant
Spinning|Lame
Sentinel Blast|Déflagration du factionnaire
Phase Punch Alpha|Coup de poing phasique alpha
Sonic Screech|Hurlement sonore
Seeping Feral Essence|Essence farouche suintante
Feral Rush|Ruée farouche
Dark Shield|Sombre bouclier
Throw Bucket of Water|Lancer un seau d'eau
Nature Bomb|Bombe de nature
Self-Destruction|Auto-destruction
Water Spray|Projection d'eau
Frost Bomb|Bombe de givre
Magnetic Field|Champ magnétique
Focused Laser|Laser focalisé
Living Flame|Flamme vivante
Superheated Winds|Vents surchauffés
Energy Sap|Saper l'énergie
Damaged|Endommagé
Fuse Armor|Fusion de l'armure
Charged Leap|Bond chargé
Devastating Leap|Bond dévastateur
Elune's Wrath|Colère d'Elune
Flaming Fists|Poings enflammés
Divine Hymn|Hymne divin
Flaming Rune|Rune enflammée
Summon Assassin|Invocation d'un assassin
Holy Mending|Guérison sacrée
Fusion|Fusionnement
Lightning Field|Champ d'éclairs
Ride the Lightning|Chevauche la foudre
Reorigination|Réorigination
Arrival|Arrivée
Twilight Bolt|Éclair crépusculaire
Defense Matrix|Matrice de défense
Trash Compactor|Compacteur de déchets
Sawblades|Lames de scie
Capturing|Capture
Speed Up|Accélération
Twilight Portal|Portail du Crépuscule
Consumed|Dévorée
Extinguish Flames|Extinction des flammes
Teleport to Safety|Téléportation vers un lieu sûr
Roiling Seas|Mers bouillonnantes
Gear Scaling|Accorder l'équipement
Singed|Roussi
Proximity Mine|Mine de proximité
Constrict|Constriction
Summon Wind Rider|Invocation d'un coursier du vent
Mount Up|En selle
Sunny|Jouette
Summon Shade of the Kaldorei|Invocation de l'ombre des Kaldorei
Surge of Light|Vague de Lumière
Dark Surge|Vague ténébreuse
Unleashed Light|Lumière libérée
Insect Swarm|Essaim d'insectes
Permafrost|vivant
Frost Trap|Piège de givre
Heal Bomb|Soigner la bombe
Moonlight|Lumière lunaire
Magic Rooster|Poulet magique
Pursuing Spikes|Pointes pourchassantes
Shadowbolt|Trait d’ombre
Touch of Light|Toucher de lumière
Experience|Expérience
Flametongue Weapon|Arme Langue de feu
Maelstrom Weapon|Arme du Maelström
Hand of Protection|Main de protection
Dark Vortex|Vortex sombre
Lightning Arrows|Flèches de foudre
Legion Flame|Flamme de la Légion
Infernal Eruption|Éruption infernale
Nether Portal|Portail de Néant
Spinning Pain Spike|Pic de douleur tournoyant
Shadow Veil|Voile d'ombre
Mistress' Kiss|Baiser de la Maîtresse
Throw Net|Lancer le filet
Feast|Dévorer
Fel Streak|Séquence gangrenée
Fel Inferno|Inferno gangrené
Fel Shock|Horion gangrené
Incendiary Rocket|Roquette incendiaire
Summon Memory|Invocation d'un souvenir
Confess|Confession
Waking Nightmare|Cauchemar éveillé
Flaming Spear|Lance enflammée
Burning Breath|Souffle brûlant
Flaming Cinder|Braise enflammée
Massive Crash|Impact massif
Arctic Breath|Souffle arctique
Burning Fury|Fureur ardente
Meteor Fists|Poings météoriques
Frost Burst|Explosion de givre
Frothing Rage|Rage écumeuse
Earthquake Camera Shake|Caméra secouée par séisme
Fire Spit|Crachat de feu
Acidic Spew|Crachement acide
Molten Spew|Vomissement de lave
Arcane Portal|Portail des Arcanes
Call of the Elements|Appel des éléments
Call of the Ancestors|Appel des ancêtres
Burning Bite|Morsure brûlante
Slime Pool|Flaque de bave
Grenade Launcher|Lanceur de grenades
Bubbly|Boisson pétillante
Dance|imposée
Fireworks|Feux d'artifice
Unholy Might|Pouvoir impie
Fountain of Light|Fontaine de Lumière
Blade Salvo|Salve de lames
Light Rain|Pluie de Lumière
Playing|En train de jouer
Tired|Fatigué
Zergling Rush|Ruée du zergling
Zergling Periodic|Zergling (périodique)
Zergling Passive|Zergling (passif)
Leash|Laisse
Timer|Chronomètre
Flashfire|Flamméclair
Rolling Throw|Projection rotatoire
Chef's Hat|Toque de chef
Spirit Drain|Drain d'esprit
Surveying|Mesure du levé
Powering Up|Acquisition de puissance
Poison Bottle|Bouteille de poison
Celerity|Vélocité
Paragon|Parangon
Pillar of Flame|Pilier de flammes
Volatility|Volatilité
Rising Fury|Fureur croissante
Summoning Ritual|Rituel d'invocation
Trampled|Piétiné
Knocking|Toquer
Repair Cannon|Réparer le canon
Thunder Strike|Frappe de la foudre
Throw Trident|Lancer de trident
Weed Whacker|Massacr'herbes
Strangle|Etrangler
Portal to Dalaran|Portail vers Dalaran
Infrared Heat Focals|Jumelles à infrarouges
Kneel|S'agenouiller
Curse of the Worgen|Malédiction des worgens
Rocket Pack|Fusées d’appoint
Surge of Adrenaline|Décharge d'adrénaline
Drowning|Noyade
Giant Stomp|Piétinement de géant
Chilling Wave|Vague glaciale
Throw Saronite|Lancer de saronite
Well of Souls|Puits des âmes
Chain Reaction|Réaction en chaîne
Corrupt Soul|Corrompre l'âme
Unstable Elemental Unleashed!|Élémentaire instable libéré !
Knockdown Stun|Renversement étourdissant
Soulstorm|Tempête d'âme
Wailing Souls|Ames gémissantes
Ignite Weapon|Enflammer l'arme
Remorseless Winter|Hiver impitoyable
Summon Arcane Construct|Invocation d'un assemblage arcanique
Arcane Chaos|Chaos arcanique
Onyxian Whelpling|Jeune dragonnet onyxien
Explosive Barrage|Barrage explosif
Mirrored Soul|Ame réfléchie
Toxic Waste|Déchets toxiques
Summon Val'kyr|Invocation d'une val'kyr
Rocket Barrage|Barrage de fusées
Time is Money|Le temps, c’est de l’argent
Bone Spike Graveyard|Cimetière de pointes d'os
Impaled|Empalé
Shield of Bones|Bouclier en os
Bone Storm|Tempête d'os
Bone Volley|Volée d'os
Gaseous Blight|Chancre gazeux
Lethargy|Atonie
Twilight Barrier|Barrière du Crépuscule
Lightning Channeling|Canalisation de la foudre
Unholy Power|Puissance impie
Summon Kalecgos|Invocation de Kalecgos
Ice Spikes|Pointes de glace
Sleepy Pet|Familier assoupi
Icy Blast|Déflagration glaciale
Vile Gas|Gaz abominable
Invisible Beam|Rayon invisible
Summon Newt|Invocation de Triture
Spirit Form|Forme d'esprit
Love Boat|Canot de l’amour
Bomb Toss|Largage de bombe
Dark Blessing|Sombre bénédiction
Soul Rip|Déchirure de l'âme
Incinerating Blast|Déflagration incinératrice
Soul Reaper|Faucheur d'âme
Overheat|Surchauffe
Aura of Darkness|Aura des ténèbres
Hurl Spear|Jeter la lance
Taste of Blood|Goût du sang
Burning Pitch|Poix ardente
Mutated Infection|Infection mutée
Rocket Artillery|Artillerie à roquettes
Cauterizing Heal|Soins cautérisants
Stun Break|Etourdissement rompu
Ooze Flood|Flots de limon
Destroy Wall|Détruire le mur
Frostfire Breath|Souffle de givrefeu
Throw Priceless Artifact|Lancer d'artéfact inestimable
Brilliance|Illuminés
Gunship Cannon Fire|Tir de la canonnière
Fire Cyclone|Cyclone de feu
Chilled to the Bone|Transi jusqu'aux os
Permeating Chill|Froid envahissant
Poisoned Blade|Lame empoisonnée
Green Bottle|Bouteille verte
Orange Bottle|Bouteille orange
Hurl Axe|Jeter la hache
Dark Binding|Lien des ténèbres
Impaling Spear|Lance de perforation
Melee Targeting|Ciblage en mêlée
Empowered Blood|Sang surpuissant
Flag Capture|Capture du drapeau
Frostblade|Givrelame
Caught!|Repéré !
Summon Alliance|Invocation d'un membre de l'Alliance
Attack Me|Attaquez-moi
Mutated Transformation|Transformation de la créature mutée
Rending Throw|Lancer tranchant
Slime Puddle|Flaque de gelée
Grow Stacker|Cumuleur de croissance
Summon Barrel|Invocation d'un tonneau
Kaja'Cola|Kaja’Cola
Spirit Release|Libération de l'esprit
Horde Banner|Bannière de la Horde
Spirit Alarm|Alerte des esprits
Infest|Infester
Heart Candy|Cœur en sucre
Sindragosa's Fury|Fureur de Sindragosa
Light's Vengeance|Vengeance de la Lumière
Call of Sylvanas|Appel de Sylvanas
Advantage|Avantage
Essence of the Captured|Essence des captifs
Launch Glaive|Lancer de glaive
Acid Burst|Explosion acide
Deliverance|Délivrance
Citizen Costume|Costume de citoyen
Lovely Card|Carte ravissante
Mayhem|Désordre
Mana Barrier|Barrière de mana
Malleable Goo|Gelée malléable
Essence of the Blood Queen|Essence de la reine de sang
Hammer Throw|Lancer le marteau
Frenzied Bloodthirst|Soif de sang frénétique
Hook Shot|Tir crochet
Dark Empowerment|Sombre renforcement
Deathchill Blast|Déflagration de froid de la mort
Rough Landing|Atterrissage brutal
Invocation of Blood|Invocation de sang
Vampiric Bite|Morsure vampirique
Shroud of Sorrow|Voile de chagrin
Kalecgos Transform|Transformation de Kalecgos
Languish|Dépérir
Glacial Blast|Déflagration glaciaire
Mana Void|Vide de mana
Swarming Shadows|Ombres grouillantes
Frozen Orb|Orbe gelé
Choking Gas|Gaz asphyxiant
Summon Dream Portal|Invocation d'un portail onirique
Pact of the Darkfallen|Pacte des Ténébrants
Shadow Lance|Lance d'ombre
+10 Fishing|+10 à la compétence de pêche
Twilight Bloodbolt|Éclair de sang du Crépuscule
Remove Spear|Retirer la lance
Vengeful Blast|Explosion vengeresse
Plague Barrel Launch|Lancer de tonneau de peste
Plaguethrower Backpack|Sac à dos lance-peste
Surging Power|Pouvoir déferlant
Tear Gas|Gaz lacrymogène
Empowered Flare|Embrasement surpuissant
Summon Snivel|Invocation de Chignard
Shattered Will|Volonté brisée
Diseased|Rat
Light's Blessing|Bénédiction par la Lumière
Throw Meat|Lancer de la viande
Glittering Sparks|Etincelles lumineuses
Increase Spell Power|Augmente la puissance des sorts
Necrotic Touch|Toucher nécrotique
Chaos Bane|Plaie du chaos
Soul Fragment|Fragment d’âme
Feral Leap|Saut farouche
Nightmare Cloud|Nuage cauchemardesque
Shock Vortex|Vortex de choc
Nightmares|Cauchemars
Copy Damage|Copie des dégâts
Serpent Ward|Gardien serpent
Summon Nightmare Portal|Invocation d'un portail cauchemardesque
Unstable|Fusée
Freezing Ground|Sol givrant
Pain and Suffering|Douleur et souffrance
Call Blood Beast|Appel de bêtes de sang
Blood Link|Lien de sang
Gastric Bloat|Ballonnement gastrique
Summon Sylvanas|Invocation de Sylvanas
Iron Bomb|Bombe en fer
Mark of the Fallen Champion|Marque du champion déchu
Frost Infusion|Infusion de givre
Soul Barrage|Barrage de l'âme
Blood Nova|Nova de sang
Corrupted Touch|Toucher corrompu
Hopelessness|Désespoir
Summon Broken Frostmourne|Invocation de Deuillegivre brisée
Mass Resurrection|Résurrection de masse
Life Infusion|Infusion de vie
Restore Soul|Restauration de l'âme
Summon Souls|Invocation d'âmes
Scent of Blood|Odeur du sang
Shadow Surge|Éruption de l'ombre
Summon Lilian Voss|Invocation de Lilian Voss
Gathering|Récolte
Play Movie|Jouer le film
Leap of Faith|Saut de foi
Life Siphon|Siphonner la vie
Flame Jet|Flot de flamme
Cone Lightning|Cône de foudre
Rigor Mortis|Rigor mortis
Shadow Trap|Piège d'ombre
Electrical Discharge|Décharge d'électricité
Spirit Bomb|Bombe spirituelle
Summon Spirit Bomb|Invocation d'une bombe spirituelle
Kaja'Cola Zero-One|Kaja’Cola Zéro-Un
Intimidated|Intimidé
Stardust|Poussière d’étoile
Harvest Souls|Moisson d'âmes
Molten Fists|Poings de la fournaise
Arcing Slash|Entaille tranchante
Rune of Healing|Rune de soins
Void Rift|Faille du Vide
Void Infusion|Infusion de Vide
Sea Legs|Pied marin
Conductivity|Conductivité
Gathering Storms|Tempête grandissante
Water Walk|Marche sur l'eau
Headbutt|Coup de tête
Firestorm|Tempête de feu
Boss Hittin' Ya|Boss tape
Big Red Button|Gros bouton rouge
Healing Rain|Pluie guérisseuse
Motivate|Motiver
Searching for Artifacts|Recherche d'artéfacts
Yes|Oui
Blitz|Attaque éclair
Motivated|Serviteur
Solar Winds|Vents solaires
Following|En train de suivre
Corrosive Spray|Projection corrosive
Mastery|Maîtrise
Veil of Sky|Voile du ciel
Astral Rain|Pluie astrale
Flap|Battre des ailes
Greater Haste|Hâte supérieure
Windwalk|Marche-vent
Tank Buster|Exploseur de char
Fire Rocket|Tir de roquette
Astral Shift|Transfert astral
Celestial Call|Appel céleste
Water Beam|Rayon d'eau
Spirit Vision|Vision de l'esprit
Lava Gout|Goutte de lave
Fire Missile|Tir de projectile
Camera Shake|Tremblement de la caméra
Parachute Pack|Sac parachute
Summon Clone|Invocation d'un clone
Twilight Blast|Déflagration du Crépuscule
Serrated Slash|Attaque à la lame dentelée
Nightmare Bolt|Éclair de cauchemar
Twilight Flames|Flammes du Crépuscule
Rescuing|Sauvetage
Meteor Strike|Frappe météore
Subjugate|Subjuguer
Storm Blast|Souffle de la tempête
Ring of Fire|Anneau de feu
Dark Breath|Sombre souffle
Summon Twilight Portal|Invocation d'un portail du Crépuscule
Corporeality|Corporéité
Bleeding Wound|Plaie hémorragique
Instant Statue|Statue instantanée
Climb Up|Montée
Shield of Light|Bouclier de lumière
Petrifying Gaze|Regard pétrifiant
Mighty Stomp|Piétinement puissant
Leaping Rush|Ruée bondissante
Pinch|Pincette
Encumbered|Encombré
